Pclass,Age,SibSp,Parch,Fare,Survived
1.0,0.4722292033174164,0.0,0.0,0.0169080739493278,0.0
0.9946424961090088,0.44767600297927856,0.005038911942392588,0.00534904794767499,0.013804294168949127,0.0
1.0,0.3717014325207338,0.0,0.0,0.0169080739493278,0.0
1.0,0.2460417190248806,0.0,0.0,0.0180060008291543,0.0
0.4982443153858185,0.39434492588043213,0.18585382401943207,0.132780984044075,0.09040366113185883,0.0
1.0,0.2963056044232219,0.0,0.0,0.0146308272103171,0.0
0.5,0.3214375471223925,0.0,0.0,0.0204946350900944,0.0
0.9951390624046326,0.29210495948791504,0.005706215742975473,0.0057465676218271255,0.0133078433573246,0.0
0.005543549079447985,0.7006157636642456,0.005559607408940792,0.01088552176952362,0.065392404794693,0.0
0.9940303564071655,0.12369272857904434,0.8449950814247131,0.31872400641441345,0.06103777512907982,0.0
0.9943297505378723,0.7652942538261414,0.0040003336034715176,0.00523503078147769,0.014908120967447758,0.0
0.0,0.4596632319678311,0.2,0.0,0.1036442974556203,0.0
0.9952597618103027,0.2675994038581848,0.20642447471618652,0.011841721832752228,0.021652530878782272,0.0
1.0,0.2460417190248806,0.0,0.0,0.0153303774213923,0.0
1.0,0.0324202060819301,0.8,0.3333333333333333,0.0612643198943179,1.0
0.47384682297706604,0.39154016971588135,0.21624162793159485,0.012305259704589844,0.04796510562300682,0.0
1.0,0.2711736617240512,0.0,0.0,0.014151057562208,0.0
0.007167561445385218,0.8756973743438721,0.003071991726756096,0.008095518685877323,0.05669359862804413,0.0
0.5,0.3088715757728072,0.0,0.0,0.0253743101115454,0.0
0.0,0.22090977632571,0.4,0.3333333333333333,0.5121218935012878,1.0
0.49452584981918335,0.24313342571258545,0.0072306133806705475,0.007525923196226358,0.028576340526342392,0.0
0.4738709032535553,0.6666214466094971,0.005291644483804703,0.007151102647185326,0.031965117901563644,0.0
0.5,0.0449861774315154,0.2,0.1666666666666666,0.0448930101973496,1.0
